site_id,lat,lon,priority,score,s1_희소성,s2_지형,s3_전력철도,s4_인구이격,s5_자기균일,dem_slope_deg,d_power_km,d_railway_km,d_urban_km
129,37.2964,128.95561,1,56.9,3.3,13.8,10.2,10.2,8.0,2.46,2.1,4.6,3.0
130,37.38651,128.95735,3,50.6,3.3,13.9,11.3,10.0,2.0,2.17,6.7,7.2,2.6
131,37.56672,128.96086,2,53.6,3.5,12.5,8.3,8.5,10.0,4.96,0.9,0.6,0.8
132,35.76295,129.03776,3,48.9,6.3,14.2,10.5,8.2,0.0,1.69,4.2,3.4,0.6
133,36.12346,129.04476,3,53.0,5.7,13.5,11.6,9.6,2.0,2.97,7.0,12.7,1.9
134,36.84441,129.05915,3,52.6,3.3,13.6,10.5,9.7,5.0,2.87,5.1,2.9,2.1
135,36.21209,129.15774,2,55.4,5.3,13.8,11.4,8.9,5.0,2.44,4.2,14.0,1.1
136,36.66267,129.16736,2,53.8,2.7,13.9,11.8,9.7,5.0,2.12,6.2,17.1,2.0
137,36.75278,129.16931,3,50.3,2.2,14.5,12.3,9.3,2.0,1.06,15.2,16.9,1.5
138,37.0231,129.1752,2,55.1,4.0,13.7,10.8,10.5,5.0,2.61,6.8,3.7,4.0
139,37.20331,129.17918,1,58.5,3.6,14.6,10.6,10.0,8.0,0.85,2.5,7.2,2.6
140,37.29341,129.18118,1,57.1,3.8,14.8,10.4,8.7,8.0,0.4,4.3,2.8,0.9
141,36.30061,129.27098,3,51.1,5.3,13.9,10.8,8.8,2.0,2.13,6.0,3.9,1.1
142,36.57094,129.27713,2,55.9,3.5,13.3,10.6,9.3,8.0,3.42,3.2,5.6,1.5
143,36.75115,129.28128,2,53.6,2.1,14.1,11.8,10.0,5.0,1.86,11.0,10.0,2.6
144,36.84126,129.28337,3,52.8,2.6,13.4,11.3,9.9,5.0,3.12,7.5,6.9,2.4
145,35.75825,129.36948,3,48.2,5.1,14.4,7.9,9.2,2.0,1.19,0.1,2.1,1.4
146,35.84836,129.37159,2,54.6,4.9,14.5,9.7,9.6,5.0,0.97,1.5,3.0,1.9
147,36.74942,129.39325,3,45.7,2.9,13.9,8.4,9.4,2.0,2.17,1.5,0.3,1.6
148,35.66637,129.4778,3,50.9,6.8,14.9,9.8,9.2,0.0,0.17,1.0,5.0,1.4
149,37.43727,130.87955,1,92.3,25.0,13.9,15.0,15.0,5.0,2.25,133.1,130.4,135.6
