name,code,min_lon,min_lat,max_lon,max_lat
온정,NK51-12-48,125.75,40.0,126.0,40.166666666666664
위원,NK52-10-01,126.0,40.833333333333336,126.25,41.0
구장동,NJ52-01-01,126.66666666666667,39.833333333333336,126.25,40.0
풍룡리,NK52-10-02,126.25,40.833333333333336,126.5,41.0
우현동,NJ52-01-02,126.25,39.833333333333336,126.5,40.0
강계,NK52-10-03,126.5,40.833333333333336,126.75,41.0
중흥리,NJ52-01-03,126.5,39.833333333333336,126.75,40.0
평리,NK52-10-04,126.75,40.833333333333336,127.0,41.0
온양리,NJ52-01-04,126.75,39.833333333333336,127.0,40.0
한당,NK52-10-09,126.0,40.666666666666664,126.25,40.833333333333336
전천,NK52-10-10,126.25,40.666666666666664,126.5,40.833333333333336
별하리,NK52-10-11,126.5,40.666666666666664,126.75,40.833333333333336
황야동,NK52-10-12,126.75,40.666666666666664,127.0,40.833333333333336
대수동,NK52-10-17,126.0,40.5,126.25,40.666666666666664
중암동,NK52-10-18,126.25,40.5,126.5,40.666666666666664
평남진,NK52-10-19,126.5,40.5,126.75,40.666666666666664
후지동,NK52-10-20,126.75,40.5,127.0,40.666666666666664
회목동,NK52-10-25,126.0,40.333333333333336,126.25,40.5
개고개동,NK52-10-26,126.25,40.333333333333336,126.5,40.5
재양동,NK52-10-27,126.5,40.333333333333336,126.75,40.5
용림동,NK52-10-28,126.75,40.333333333333336,127.0,40.5
상동,NK52-10-33,126.0,40.166666666666664,126.25,40.333333333333336
희천,NK52-10-34,126.25,40.166666666666664,126.5,40.333333333333336
유원진,NK52-10-35,126.5,40.166666666666664,126.75,40.333333333333336
창리,NK52-10-36,126.75,40.166666666666664,127.0,40.333333333333336
하행동,NK52-10-41,126.0,40.0,126.25,40.166666666666664
국화참,NK52-10-42,126.25,40.0,126.5,40.166666666666664
구창리,NK52-10-43,126.5,40.0,126.75,40.166666666666664
사창리,NK52-10-44,126.75,40.0,127.0,40.166666666666664
동문거리,NK52-10-05,127.0,40.833333333333336,127.25,41.0
백산,NJ52-01-05,127.0,39.833333333333336,127.25,40.0
중강리,NK52-10-06,127.25,40.833333333333336,127.5,41.0
지경,NJ52-01-06,127.25,39.833333333333336,127.5,40.0
