측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
성산,2023-04-12,11:29:00,11:56:00,11:29~11:33,11:50~11:56,2023-04-12 02:29~02:33,2023-04-12 02:50~02:56,0.0,QUIET,0.22,0.13,0.9,16.0,QUIET,-38.29638014167722,3.382349261032315,-0.2596556455457274,1,nearest,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,11:38:00,12:03:00,11:38~11:48,11:55~12:03,2023-04-12 02:38~02:48,2023-04-12 02:55~03:03,0.0,QUIET,0.63,0.21,0.7,15.9,QUIET,-38.22362685605185,2.70909501250977,-0.4116660641033389,1,nearest,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,12:29:00,12:56:00,12:29~12:33,12:50~12:56,2023-04-12 03:29~03:33,2023-04-12 03:50~03:56,0.0,QUIET,0.19,0.17,5.9,15.8,QUIET,-31.568032222428883,-0.34011695625112304,-1.5389125786793083,1,nearest,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:11:00,13:40:00,13:11~13:17,13:32~13:40,2023-04-12 04:11~04:17,2023-04-12 04:32~04:40,0.0,QUIET,0.26,0.06,8.4,13.8,QUIET,-16.637971369287698,-2.403689729396628,-2.148192415108613,1,nearest,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:12:00,13:40:00,13:12~13:17,13:32~13:40,2023-04-12 04:12~04:17,2023-04-12 04:32~04:40,0.0,QUIET,0.22,0.06,8.2,13.4,QUIET,-16.521719678748923,-2.4272048968165523,-2.148192415108613,1,nearest,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,13:58:00,14:24:00,13:58~14:06,14:13~14:24,2023-04-12 04:58~05:06,2023-04-12 05:13~05:24,0.0,QUIET,0.18,0.07,6.5,7.2,QUIET,-4.163178702714504,-3.828696125564966,-2.4432040779339945,1,nearest,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,14:37:00,15:03:00,14:37~14:44,14:54~15:03,2023-04-12 05:37~05:44,2023-04-12 05:54~06:03,1.0,QUIET,0.04,0.09,3.9,4.8,QUIET,3.4986611073836684,-4.02124888600983,-2.2637577044183175,1,nearest,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,14:58:00,15:24:00,14:58~15:06,15:13~15:24,2023-04-12 05:58~06:06,2023-04-12 06:13~06:24,1.0,QUIET,0.1,0.03,1.4,6.1,QUIET,5.103815460992337,-3.963495473813145,-2.0175720996015825,1,nearest,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,15:14:00,15:37:00,15:14~15:23,15:28~15:37,2023-04-12 06:14~06:23,2023-04-12 06:28~06:37,1.0,QUIET,0.15,0.05,2.8,4.2,QUIET,6.142162143245514,-3.5866304570934107,-1.9782278996504157,1,nearest,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,15:37:00,16:03:00,15:37~15:44,15:54~16:03,2023-04-12 06:37~06:44,2023-04-12 06:54~07:03,1.0,QUIET,0.12,0.06,4.3,6.6,QUIET,10.185967326302489,-3.291200109770342,-1.9341270448570576,1,nearest,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
