측점,날짜,시작,종료,Kp,dF,dD_arcmin,상태,파일
여주,2023-09-07,11:50:00,12:09:00,2.0,-30.130751924589276,-3.703125835569349,정상,여주.지자기야장.23.09.07.xlsx
여주,2023-09-07,11:50:00,15:10:00,2.0,-15.379933897143928,-4.718108425514343,정상,여주.지자기야장.23.09.07.xlsx
여주,2023-09-07,12:24:00,12:50:00,0.667,-24.025380221275555,-4.754777569324122,정상,여주.지자기야장.23.09.07.xlsx
여주,2023-09-07,13:10:00,13:33:00,0.667,-16.46703663776134,-5.37343935365536,정상,여주.지자기야장.23.09.07.xlsx
여주,2023-09-07,13:56:00,14:16:00,0.667,-8.335648257867433,-5.021899120446348,정상,여주.지자기야장.23.09.07.xlsx
여주,2023-09-07,14:35:00,14:58:00,0.667,-4.081356158581912,-4.297491278432973,정상,여주.지자기야장.23.09.07.xlsx
여주,2023-09-07,15:05:00,15:22:00,0.667,-1.222443707032653,-3.79336557053565,정상,여주.지자기야장.23.09.07.xlsx
여주,2025-04-30,10:40:00,11:21:00,3.333,-34.846344862169644,0.7492995366897289,정상,배포.지자기야장(여주).250430.xlsx
여주,2025-04-30,12:39:00,12:59:00,2.333,-19.106372146197828,-2.367419349223145,정상,배포.지자기야장(여주).250430.xlsx
여주,2025-04-30,13:23:00,13:44:00,2.333,-12.982565025769873,-3.6528898602803044,정상,배포.지자기야장(여주).250430.xlsx
여주,2025-04-30,14:07:00,14:23:00,2.333,-12.61458820187545,-4.232415611738077,정상,배포.지자기야장(여주).250430.xlsx
여주,2025-04-30,14:53:00,15:10:00,2.333,-16.3812727632685,-4.808484733011819,정상,배포.지자기야장(여주).250430.xlsx
여주,2025-04-30,15:38:00,15:53:00,2.667,-14.329270243200881,-4.7905006977946325,정상,배포.지자기야장(여주).250430.xlsx
영천,2024-10-31,10:52:00,11:17:00,0.667,-22.72149749554228,1.1886823850076078,정상,배포.지자기야장.영천(2024.10.31).ver24.xlsx
영천,2024-10-31,11:43:00,12:01:00,0.667,-28.175291217856284,-0.47337474497737053,정상,배포.지자기야장.영천(2024.10.31).ver24.xlsx
영천,2024-10-31,12:40:00,12:58:00,0.667,-27.86134512796707,-3.1275993788201175,정상,배포.지자기야장.영천(2024.10.31).ver24.xlsx
영천,2024-10-31,13:24:00,13:43:00,0.667,-18.916775009507546,-4.312846871315111,정상,배포.지자기야장.영천(2024.10.31).ver24.xlsx
영천,2024-10-31,14:12:00,14:39:00,0.667,-13.218736764290952,-4.534635749177141,정상,배포.지자기야장.영천(2024.10.31).ver24.xlsx
영천,2024-10-31,15:06:00,15:24:00,1.333,-7.021888490380661,-3.686509432279695,정상,배포.지자기야장.영천(2024.10.31).ver24.xlsx
이원,2019-05-21,13:46:00,14:06:00,1.0,-4.163041692765546,-3.60768766516613,정상,2019.5.21~23.이원 야장기록.xlsx
이원,2019-05-21,14:21:00,14:38:00,1.0,-0.9188946588183171,-3.4328441127938,정상,2019.5.21~23.이원 야장기록.xlsx
이원,2019-05-22,10:10:00,10:32:00,0.333,-15.78994401700038,1.7047375513436507,정상,2019.5.21~23.이원 야장기록.xlsx
이원,2019-05-22,10:44:00,11:05:00,0.333,-17.604673089794233,0.5382362936548776,정상,2019.5.21~23.이원 야장기록.xlsx
이원,2024-09-05,11:47:00,12:16:00,1.333,-34.58160375384614,-2.9886067785183275,정상,배포.지자기야장.이원(2024.9.5).xlsx
이원,2024-09-05,12:29:00,12:53:00,1.333,-25.205429681271198,-4.897860726571299,정상,배포.지자기야장.이원(2024.9.5).xlsx
이원,2024-09-05,13:03:00,13:19:00,1.333,-17.063791397915338,-5.067330159387472,정상,배포.지자기야장.이원(2024.9.5).xlsx
이원,2024-09-05,13:37:00,13:53:00,1.333,-7.9465130863609375,-4.520584858988973,정상,배포.지자기야장.이원(2024.9.5).xlsx
이원,2024-09-05,14:22:00,14:37:00,1.333,4.455876788022579,-4.353599577008047,정상,배포.지자기야장.이원(2024.9.5).xlsx
이원,2024-09-05,15:00:00,15:16:00,0.667,9.426290914416313,-3.830134495250358,정상,배포.지자기야장.이원(2024.9.5).xlsx
임계,2022-10-12,13:17:00,13:34:00,0.0,-4.46964586568356,-0.3979980227062003,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
임계,2022-10-12,13:17:00,16:35:00,0.0,-0.47362114182760706,-0.4736819959507919,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
임계,2022-10-12,13:49:00,14:02:00,0.0,-2.6503662592731416,-0.5482546731021124,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
임계,2022-10-12,14:34:00,14:45:00,0.0,-0.36255140351568116,-0.5613778389259612,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
임계,2022-10-12,15:19:00,15:31:00,0.333,1.265771561920701,-0.499958392944885,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
임계,2022-10-12,16:00:00,16:12:00,0.333,1.4032990794657962,-0.36393259719610915,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
임계,2022-10-12,16:30:00,16:43:00,0.333,0.9721517789148493,-0.2578647045703068,정상,복사본 배포.임계_지자기야장(22.10.12).xlsx
장흥,2019-10-22,10:06:00,10:25:00,0.0,-5.933476907579461,1.570826759498908,정상,2019.10.21-23.장흥.지자기야장.xlsx
장흥,2019-10-22,10:46:00,11:00:00,0.0,-7.624302876989532,1.3373267712853039,정상,2019.10.21-23.장흥.지자기야장.xlsx
장흥,2019-10-22,11:34:00,11:46:00,0.0,-7.084488107488141,0.558092999597171,정상,2019.10.21-23.장흥.지자기야장.xlsx
장흥,2019-10-22,13:00:00,13:16:00,0.333,-4.256722155107127,-1.9197339981689032,정상,2019.10.21-23.장흥.지자기야장.xlsx
장흥,2019-10-22,13:10:00,14:07:00,0.333,-0.6003560969547834,-2.2638818727172483,정상,2019.10.21-23.장흥.지자기야장.xlsx
장흥,2019-10-22,13:30:00,13:43:00,0.333,0.04955900798813673,-2.302668794681713,정상,2019.10.21-23.장흥.지자기야장.xlsx
포천,2020-10-20,15:01:00,16:04:00,0.667,-2.9348520483108587,-1.2660438982784479,정상,2020.10.20_포천_지자기야장.xlsx
포천,2020-10-20,16:22:00,16:55:00,0.667,-1.0937077059497824,-0.6770853276406066,정상,2020.10.20_포천_지자기야장.xlsx
포천,2020-10-20,17:00:00,17:22:00,0.667,-1.4233312692667823,-0.42849987286067515,정상,2020.10.20_포천_지자기야장.xlsx
포천,2020-10-21,10:33:00,10:58:00,2.333,-10.622757625256781,1.5141793232430982,정상,2020.10.20_포천_지자기야장.xlsx
포천,2020-10-21,11:25:00,11:47:00,2.333,-14.399320696364157,0.5327193796564316,정상,2020.10.20_포천_지자기야장.xlsx
포천,2020-10-21,12:03:00,12:23:00,2.333,-14.9276896858064,-0.4970474892618422,정상,2020.10.20_포천_지자기야장.xlsx
