측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
상주,2020-10-28,12:10:00,12:27:00,12:10~12:16,12:20~12:27,2020-10-28 03:10~03:16,2020-10-28 03:20~03:27,2.667,CAUTION,0.32,0.07,3.1,5.4,QUIET,-30.63937983246433,0.3241151471775389,-0.38866550595189076,3,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2023-10-11,11:51:00,12:11:00,11:51~11:57,12:02~12:11,2023-10-11 02:51~02:57,2023-10-11 03:02~03:11,0.667,QUIET,0.25,0.05,2.4,8.0,QUIET,-73.31197394308401,7.270709824033251,0.7140706051575169,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,12:26:00,12:45:00,12:26~12:31,12:38~12:45,2023-10-11 03:26~03:31,2023-10-11 03:38~03:45,0.667,QUIET,0.22,0.03,1.5,7.7,QUIET,-66.04589650808339,3.651521511130218,-0.12440438755461013,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,13:15:00,13:34:00,13:15~13:23,13:28~13:34,2023-10-11 04:15~04:23,2023-10-11 04:28~04:34,0.667,QUIET,0.21,0.09,3.5,7.7,QUIET,-58.97505830090813,-1.25601068961549,-1.0317220364548836,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:04:00,14:24:00,14:04~14:11,14:16~14:24,2023-10-11 05:04~05:11,2023-10-11 05:16~05:24,0.667,QUIET,0.16,0.04,3.0,3.5,QUIET,-42.3083737792258,-4.832086958027269,-1.9605509842320525,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:40:00,14:56:00,14:40~14:47,14:50~14:56,2023-10-11 05:40~05:47,2023-10-11 05:50~05:56,0.667,QUIET,0.08,0.09,3.0,3.8,QUIET,-25.422212194018357,-5.496594988911599,-2.3268272228481397,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,15:10:00,15:24:00,15:10~15:15,15:18~15:24,2023-10-11 06:10~06:15,2023-10-11 06:18~06:24,0.667,QUIET,0.03,0.04,1.5,2.0,QUIET,-16.62455241419957,-5.429836500431616,-2.3479850700848233,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2025-09-24,10:30:00,10:51:00,10:30~10:35,10:45~10:51,2025-09-24 01:30~01:35,2025-09-24 01:45~01:51,1.667,QUIET,0.06,0.02,1.6,2.8,QUIET,22.907297602105245,-2.769151743270396,-0.9906236435696524,1,nearest,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:04:00,11:19:00,11:04~11:09,11:13~11:19,2025-09-24 02:04~02:09,2025-09-24 02:13~02:19,1.667,QUIET,0.06,0.11,1.6,2.7,QUIET,22.195458129986946,-2.891010636199569,-0.839916727369444,1,nearest,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:44:00,12:02:00,11:44~11:50,11:56~12:02,2025-09-24 02:44~02:50,2025-09-24 02:56~03:02,1.667,QUIET,0.05,0.12,6.2,8.7,QUIET,20.101636235194746,-2.529982952195568,-0.5239029201727909,1,nearest,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,12:36:00,12:53:00,12:36~12:42,12:47~12:53,2025-09-24 03:36~03:42,2025-09-24 03:47~03:53,1.333,QUIET,0.03,0.14,4.0,5.2,QUIET,20.511100620533398,-2.963374018468389,-0.6361000993433121,1,nearest,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,13:34:00,13:49:00,13:34~13:39,13:43~13:49,2025-09-24 04:34~04:39,2025-09-24 04:43~04:49,1.333,QUIET,0.28,0.13,6.9,11.1,QUIET,31.99152180285455,-1.7454933420682068,-1.6380941530910837,1,nearest,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,14:32:00,14:46:00,14:32~14:36,14:41~14:46,2025-09-24 05:32~05:36,2025-09-24 05:41~05:46,1.333,QUIET,0.24,0.1,5.2,8.4,QUIET,25.46992821564345,-2.2372870400340408,-1.166312577471305,1,nearest,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
성산,2023-04-12,10:38:00,11:03:00,10:38~10:48,10:55~11:03,2023-04-12 01:38~01:48,2023-04-12 01:55~02:03,0.0,QUIET,0.27,0.08,8.6,10.7,QUIET,-372.44244367376814,62.052534552536834,13.538934140744717,3,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,11:29:00,11:56:00,11:29~11:33,11:50~11:56,2023-04-12 02:29~02:33,2023-04-12 02:50~02:56,0.0,QUIET,0.22,0.13,1.1,16.0,QUIET,-440.50767237086257,48.87434785843192,8.281283335359802,3,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,11:38:00,12:03:00,11:38~11:48,11:55~12:03,2023-04-12 02:38~02:48,2023-04-12 02:55~03:03,0.0,QUIET,0.63,0.21,0.8,15.9,QUIET,-441.1005800825951,43.770129647271396,7.281338495014639,3,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,12:29:00,12:56:00,12:29~12:33,12:50~12:56,2023-04-12 03:29~03:33,2023-04-12 03:50~03:56,0.0,QUIET,0.19,0.17,5.9,15.8,QUIET,-404.9478613207393,19.31439220597879,-0.2038520670797074,3,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:11:00,13:40:00,13:11~13:17,13:32~13:40,2023-04-12 04:11~04:17,2023-04-12 04:32~04:40,0.0,QUIET,0.26,0.14,8.4,13.8,QUIET,-283.62127250118647,3.289781051447455,-4.799365593700264,3,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:12:00,13:40:00,13:12~13:17,13:32~13:40,2023-04-12 04:12~04:17,2023-04-12 04:32~04:40,0.0,QUIET,0.22,0.14,8.2,13.4,QUIET,-282.8099679013394,3.072355782910588,-4.799365593700264,3,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,13:58:00,14:24:00,13:58~14:06,14:13~14:24,2023-04-12 04:58~05:06,2023-04-12 05:13~05:24,0.0,QUIET,0.18,0.22,6.5,7.2,QUIET,-197.82988676516834,-7.4522464604779035,-9.03544598111349,3,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
