측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
부안,2023-11-01,13:03:00,13:22:00,13:03~13:10,13:15~13:22,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:40:00,13:56:00,13:40~13:45,13:49~13:56,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:15:00,14:35:00,14:15~14:22,14:28~14:35,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:40:00,14:58:00,14:40~14:47,14:50~14:58,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2025-11-04,11:26:00,11:55:00,11:26~11:32,11:49~11:55,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,12:27:00,12:44:00,12:27~12:33,12:38~12:44,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:19:00,13:34:00,13:19~13:24,13:29~13:34,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:59:00,14:21:00,13:59~14:06,14:15~14:21,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,14:50:00,15:07:00,14:50~14:55,15:02~15:07,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,15:26:00,15:43:00,15:26~15:31,15:36~15:43,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
상주,2020-10-27,16:26:00,16:45:00,16:26~16:32,16:38~16:45,2020-10-27 07:26~07:32,2020-10-27 07:38~07:45,3.333,DISTURBED,0.03,0.04,1.5,2.2,CAUTION,2.8764879592927173,-1.5254254844986608,-0.10312693435535343,3,idw,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:02:00,17:25:00,17:02~17:10,17:15~17:25,2020-10-27 08:02~08:10,2020-10-27 08:15~08:25,3.333,DISTURBED,0.05,0.1,2.1,3.1,CAUTION,3.688544042990543,-1.3981668363945823,-0.23135911617506805,3,idw,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:30:00,17:46:00,17:30~17:36,17:40~17:46,2020-10-27 08:30~08:36,2020-10-27 08:40~08:46,3.333,DISTURBED,0.06,0.02,2.6,3.4,CAUTION,2.5660831267523463,-1.4853745862301253,-0.053612744823546506,3,idw,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,10:57:00,11:16:00,10:57~11:04,11:09~11:16,2020-10-28 01:57~02:04,2020-10-28 02:09~02:16,1.667,QUIET,0.4,0.08,2.6,3.9,QUIET,-10.943095666567388,-0.435834259094181,0.6912930162465848,4,idw,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,11:33:00,11:53:00,11:33~11:40,11:43~11:53,2020-10-28 02:33~02:40,2020-10-28 02:43~02:53,1.667,QUIET,0.29,0.17,4.0,7.3,QUIET,-12.504345231034677,-0.48641090156427735,0.7816112892971329,4,idw,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,12:10:00,12:27:00,12:10~12:16,12:20~12:27,2020-10-28 03:10~03:16,2020-10-28 03:20~03:27,2.667,CAUTION,0.32,0.07,3.1,5.4,QUIET,-14.372721121340874,-0.9962500322001854,0.8670477977042326,4,idw,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2023-10-11,11:51:00,12:11:00,11:51~11:57,12:02~12:11,2023-10-11 02:51~02:57,2023-10-11 03:02~03:11,0.667,QUIET,0.25,0.05,2.4,8.0,QUIET,2.0780234691192163,-1.3936124713221845,-0.9992137350521977,3,idw,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,12:26:00,12:45:00,12:26~12:31,12:38~12:45,2023-10-11 03:26~03:31,2023-10-11 03:38~03:45,0.667,QUIET,0.22,0.03,1.5,7.7,QUIET,5.049789336771937,-1.8135344515939444,-1.2330661748761693,3,idw,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,13:15:00,13:34:00,13:15~13:23,13:28~13:34,2023-10-11 04:15~04:23,2023-10-11 04:28~04:34,0.667,QUIET,0.21,0.09,3.5,7.7,QUIET,6.394879126186424,-2.419359194940706,-1.3766397187647064,3,idw,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:04:00,14:24:00,14:04~14:11,14:16~14:24,2023-10-11 05:04~05:11,2023-10-11 05:16~05:24,0.667,QUIET,0.16,0.04,3.0,3.5,QUIET,8.758721895115741,-2.8497854253224006,-1.512568305495111,3,idw,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:40:00,14:56:00,14:40~14:47,14:50~14:56,2023-10-11 05:40~05:47,2023-10-11 05:50~05:56,0.667,QUIET,0.08,0.09,3.0,3.8,QUIET,11.255782167529105,-2.897373141184324,-1.5533360399698681,3,idw,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,15:10:00,15:24:00,15:10~15:15,15:18~15:24,2023-10-11 06:10~06:15,2023-10-11 06:18~06:24,0.667,QUIET,0.03,0.04,1.5,2.0,QUIET,12.313592445389077,-2.8695280192388477,-1.4969466148731196,3,idw,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2025-09-24,10:30:00,10:51:00,10:30~10:35,10:45~10:51,2025-09-24 01:30~01:35,2025-09-24 01:45~01:51,1.667,QUIET,0.08,0.02,1.6,2.8,QUIET,22.644415292612393,-2.80619626372606,-0.9086449364178166,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:04:00,11:19:00,11:04~11:09,11:13~11:19,2025-09-24 02:04~02:09,2025-09-24 02:13~02:19,1.667,QUIET,0.07,0.11,1.6,2.7,QUIET,21.80508845327131,-2.937699282047575,-0.7595665902390352,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
