측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_변동폭_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
성산,2023-04-12,11:29:00,11:56:00,11:29~11:33,11:50~11:56,2023-04-12 02:29~02:33,2023-04-12 02:50~02:56,0.0,QUIET,2.4,QUIET,41.16117481554829,-5.317896509977377,-1.1532752790622778,4,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,11:38:00,12:03:00,11:38~11:48,11:55~12:03,2023-04-12 02:38~02:48,2023-04-12 02:55~03:03,0.0,QUIET,4.3,QUIET,41.34349669166113,-5.129875545602179,-1.13041678036723,4,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,12:29:00,12:56:00,12:29~12:33,12:50~12:56,2023-04-12 03:29~03:33,2023-04-12 03:50~03:56,0.0,QUIET,7.6,QUIET,42.79026318880642,-4.06102358780655,-0.9327207673110409,4,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:11:00,13:40:00,13:11~13:17,13:32~13:40,2023-04-12 04:11~04:17,2023-04-12 04:32~04:40,0.0,QUIET,7.2,QUIET,36.203261248876515,-3.393871051122283,-0.6752757320995953,4,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:12:00,13:40:00,13:12~13:17,13:32~13:40,2023-04-12 04:12~04:17,2023-04-12 04:32~04:40,0.0,QUIET,6.9,QUIET,36.18227325238695,-3.3821049263714213,-0.6752757320995953,4,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,13:58:00,14:24:00,13:58~14:06,14:13~14:24,2023-04-12 04:58~05:06,2023-04-12 05:13~05:24,0.0,QUIET,5.8,QUIET,33.464369574474404,-2.995715517434436,-0.29230589356318637,4,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,14:37:00,15:03:00,14:37~14:44,14:54~15:03,2023-04-12 05:37~05:44,2023-04-12 05:54~06:03,0.0,QUIET,4.1,QUIET,32.92042955163197,-2.9561635908168165,-0.44108609241477403,4,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,14:58:00,15:24:00,14:58~15:06,15:13~15:24,2023-04-12 05:58~06:06,2023-04-12 06:13~06:24,0.0,QUIET,5.2,QUIET,28.967906688725634,-2.8057471325073906,-0.29507434847543246,4,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,15:14:00,15:37:00,15:14~15:23,15:28~15:37,2023-04-12 06:14~06:23,2023-04-12 06:28~06:37,1.0,QUIET,4.0,QUIET,26.78129905561218,-2.9944373497339503,-0.1357144627258126,4,plane,성분별,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,15:37:00,16:03:00,15:37~15:44,15:54~16:03,2023-04-12 06:37~06:44,2023-04-12 06:54~07:03,1.0,QUIET,5.9,QUIET,25.59683029853477,-3.2756800584191605,-0.2831468755510873,4,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,16:14:00,16:37:00,16:14~16:23,16:28~16:37,2023-04-12 07:14~07:23,2023-04-12 07:28~07:37,1.0,QUIET,3.2,QUIET,30.109989505945123,-3.3022397903642347,-0.58460814022566,4,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2025-05-15,11:28:00,11:44:00,11:28~11:35,11:37~11:44,2025-05-15 02:28~02:35,2025-05-15 02:37~02:44,3.333,DISTURBED,6.7,CAUTION,35.20406066970463,-0.8724287985086951,0.2610972588521611,4,plane,성분별,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,11:28:00,14:40:00,11:28~14:40,,2025-05-15 02:28~05:40,2025-05-15 02:28~05:40,3.333,DISTURBED,46.3,DISTURBED,34.013432915409794,-0.6136812122762886,0.5246021446154924,4,plane,세션전체,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,12:02:00,12:17:00,12:02~12:08,12:12~12:17,2025-05-15 03:02~03:08,2025-05-15 03:12~03:17,3.667,DISTURBED,8.7,CAUTION,39.512710336537566,-1.0882414988802176,0.17858767643082757,4,plane,성분별,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,12:36:00,12:51:00,12:36~12:42,12:45~12:51,2025-05-15 03:36~03:42,2025-05-15 03:45~03:51,3.667,DISTURBED,2.5,CAUTION,36.97596303519822,-0.43715370849987123,0.303849050738839,4,plane,성분별,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,13:26:00,13:40:00,13:26~13:30,13:35~13:40,2025-05-15 04:26~04:30,2025-05-15 04:35~04:40,3.667,DISTURBED,2.8,CAUTION,31.9005737262778,-0.6084621949038249,0.6643772347188431,4,plane,성분별,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,13:58:00,14:12:00,13:58~14:03,14:07~14:12,2025-05-15 04:58~05:03,2025-05-15 05:07~05:12,3.667,DISTURBED,2.5,CAUTION,31.868466032821743,-0.5998039947796366,0.6029647013997123,4,plane,성분별,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
