측점,날짜,시작,종료,편각구간,복각구간,관측수,F_nT,위도,경도,이상,파일,시트
양산,2024-10-17,12:30:00,12:45:00,12:30~12:36,12:39~12:45,8,49584.75,35.67619995833333,129.1908721388889,,배포.지자기야장(양산).24.10.17.ver24.1.xlsx,양산.지자기야장
양산,2024-10-17,13:21:00,13:41:00,13:21~13:27,13:33~13:41,8,49602.74,35.67619995833333,129.1908721388889,,배포.지자기야장(양산).24.10.17.ver24.1.xlsx,양산.지자기야장
양산,2024-10-17,14:00:00,14:15:00,14:00~14:06,14:10~14:15,8,49602.67,35.67619995833333,129.1908721388889,,배포.지자기야장(양산).24.10.17.ver24.1.xlsx,양산.지자기야장
양산,2024-10-17,14:40:00,15:00:00,14:40~14:46,14:54~15:00,8,49603.89,35.67619995833333,129.1908721388889,,배포.지자기야장(양산).24.10.17.ver24.1.xlsx,양산.지자기야장
양산,2024-10-17,15:01:00,15:14:00,15:01~15:07,15:09~15:14,8,49607.03,35.67619995833333,129.1908721388889,,배포.지자기야장(양산).24.10.17.ver24.1.xlsx,양산.지자기야장
여주,2023-09-07,11:50:00,12:09:00,11:50~11:56,12:02~12:09,8,51110.511,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2023-09-07,11:50:00,15:10:00,11:50~15:10,,24,,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2023-09-07,12:24:00,12:50:00,12:24~12:33,12:44~12:50,8,51130.725,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2023-09-07,13:10:00,13:33:00,13:10~13:18,13:24~13:33,8,51139.84,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2023-09-07,13:56:00,14:16:00,13:56~14:04,14:10~14:16,8,51146.208,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2023-09-07,14:35:00,14:58:00,14:35~14:44,14:52~14:58,8,51149.717,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2023-09-07,15:05:00,15:22:00,15:05~15:10,15:15~15:22,8,51151.251,37.445381,127.57332169444445,,여주.지자기야장.23.09.07.xlsx,간편야장출력
여주,2025-04-30,10:40:00,11:21:00,10:40~10:57,11:09~11:21,8,51161.674,37.445381,127.57332169444445,,배포.지자기야장(여주).250430.xlsx,25.4.30.여주점
여주,2025-04-30,12:39:00,12:59:00,12:39~12:45,12:52~12:59,8,51173.33,37.445381,127.57332169444445,,배포.지자기야장(여주).250430.xlsx,25.4.30.여주점
여주,2025-04-30,13:23:00,13:44:00,13:23~13:32,13:37~13:44,8,51177.889,37.445381,127.57332169444445,,배포.지자기야장(여주).250430.xlsx,25.4.30.여주점
여주,2025-04-30,14:07:00,14:23:00,14:07~14:14,14:18~14:23,8,51180.257,37.445381,127.57332169444445,,배포.지자기야장(여주).250430.xlsx,25.4.30.여주점
여주,2025-04-30,14:53:00,15:10:00,14:53~14:58,15:03~15:10,8,51177.658,37.445381,127.57332169444445,,배포.지자기야장(여주).250430.xlsx,25.4.30.여주점
여주,2025-04-30,15:38:00,15:53:00,15:38~15:44,15:48~15:53,8,51179.073,37.445381,127.57332169444445,,배포.지자기야장(여주).250430.xlsx,25.4.30.여주점
영천,2024-10-31,10:52:00,11:17:00,10:52~10:58,11:09~11:17,8,49775.684,35.79208525,128.94860258333333,,배포.지자기야장.영천(2024.10.31).ver24.xlsx,영천지자기야장
영천,2024-10-31,11:43:00,12:01:00,11:43~11:49,11:56~12:01,8,49778.94,35.79208525,128.94860258333333,,배포.지자기야장.영천(2024.10.31).ver24.xlsx,영천지자기야장
영천,2024-10-31,12:40:00,12:58:00,12:40~12:45,12:50~12:58,8,49780.226,35.79208525,128.94860258333333,,배포.지자기야장.영천(2024.10.31).ver24.xlsx,영천지자기야장
